1976,Earth and Planetary Science Letters,Chemical,radium-226,,,,,,,,,
1976,Earth and Planetary Science Letters,Physical,radon-222,radium-228,,,,,,,,
1976,Earth and Planetary Science Letters,Chemical,radon-222,,,,,,,,,
1978,Journal of Geophysical Research,Physical,radon-222,,,,,,,,,
1980,Earth and Planetary Science Letters,Chemical,radon-222,,,,,,,,,
1980,Journal of Geophysical Research,Physical,radon-222,,,,,,,,,
1982,Journal of Geophysical Research,Physical,,,,,,,,,,
1982,Journal of Geophysical Research,Physical,tritium,,,,,,,,,
1982,Journal of Geophysical Research,Physical,radium-228,,,,,,,,,
1983,Journal of Physical Oceanography,Physical,tritium,,,,,,,,,
1983,Journal of Physical Oceanography,Physical,tritium,,,,,,,,,
1984,Nature,Chemical,carbon dioxide,,,,,,,,,
1985,Book,Physical,,,,,,,,,,
1985,Journal of Geophysical Research,Chemical,radium-226,radium-228,,,,,,,,
1985,Journal of Geophysical Research,Chemical,radium-226,radium-228,,,,,,,,
1985,Journal of Geophysical Research,Chemical,tritium,carbon-14,,,,,,,,
1985,Journal of Geophysical Research,Chemical,oxygen,silicon,nitrate,,,,,,,
1985,Book,Chemical,carbon dioxide,carbon-14,carbon-13,,,,,,,
1986,Journal of Geophysical Research,Physical,radium-226,radium-228,,,,,,,,
1986,Journal of Geophysical Research,Physical,radium-222,,,,,,,,,
1986,Journal of Physical Oceanography,Physical,tritium,,,,,,,,,
1986,Journal of Geophysical Research,Chemical,strontium-90,,,,,,,,,
1986,Journal of Geophysical Research,Chemical,oxygen,silicon,nitrate,,,,,,,
1986,Journal of Geophysical Research,Physical,,,,,,,,,,
1986,Book,Chemical,carbon dioxide,,,,,,,,,
1986,Book,Physical,,,,,,,,,,
1986,Book,Chemical,carbon dioxide,,,,,,,,,
1987,Reviews of Geophysics,Physical,silicon,CFC,tritium,krypton-85,carbon-14,argon-39,oxygen-18,radium-224,radon-222,strontium-90
1988,Philosophical Transactions of the Royal Society A,Chemical,carbon dioxide,calcium carbonate,,,,,,,,
1988,Global Biogeochemical Cycles,Chemical,oxygen,,,,,,,,,
1988,Global Biogeochemical Cycles,Biological,phytoplankton,zooplankton,nitrate,chlorophyll,,,,,,
1988,Global Biogeochemical Cycles,Chemical,oxygen,,,,,,,,,
1989,Progress in Oceanography,Chemical,thorium,plutonium,tin,,,,,,,
1990,Journal of Geophysical Research,Physical,tritium,helium-3,,,,,,,,
1990,Journal of Geophysical Research,Chemical,thorium,,,,,,,,,
1990,Journal of Geophysical Research,Chemical,oxygen,tritium,radium-228,nitrate,nitrogen,,,,,
1991,Nature,Chemical,carbon dioxide,iron,carbon-14,phosphate,,,,,,
1991,Global Biogeochemical Cycles,Chemical,carbon dioxide,iron,,,,,,,,
1991,Advances in Space Research,Biological,carbon dioxide,phytoplankton,carbon,,,,,,,
1991,Global Biogeochemical Cycles,Chemical,iron,carbon dioxide,carbon-14,CFC,,,,,,
1991,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
1991,Geology,Physical,oxygen,phosphate,,,,,,,,
1991,Limnology and Oceanography,Chemical,carbon dioxide,iron,carbon,oxygen,,,,,,
1992,Global Biogeochemical Cycles,Chemical,phosphorus,carbon,,,,,,,,
1992,Journal of Geophysical Research,Chemical,carbon dioxide,,,,,,,,,
1992,Nature,Chemical,carbon dioxide,carbon,,,,,,,,
1992,Book,Chemical,carbon dioxide,carbon,,,,,,,,
1992,"Water, Air, & Soil Pollution",Chemical,carbon dioxide,phosphorus,nitrogen,macroalgae,,,,,,
1992,Book,Chemical,carbon dioxide,nitrous oxide,dimethyl sulfide,CFC,,,,,,
1993,Chemical and Engineering News,Chemical,carbon dioxide,,,,,,,,,
1993,Global Biogeochemical Cycles,Chemical,nitrogen,chlorophyll,carbon,nitrate,,,,,,
1993,Global Biogeochemical Cycles,Biological,nitrogen,phytoplankton,zooplankton,bacteria,nitrate,ammonium,organic matter,,,
1993,Nature,Chemical,carbon dioxide,,,,,,,,,
1993,Nature,Chemical,carbon dioxide,,,,,,,,,
1993,Book,Biological,nitrogen,nitrate,ammonium,phytoplankton,zooplankton,bacteria,,,,
1994,Journal of Geophysical Research,Chemical,thorium,,,,,,,,,
1994,Global Biogeochemical Cycles,Biological,phosphorus,nitrogen,carbon,oxygen,calcium carbonate,,,,,
1994,Photosynthesis Research,Chemical,carbon dioxide,,,,,,,,,
1995,Journal of Geophysical Research,Physical,carbon-14,,,,,,,,,
1995,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
1995,Book,Biological,carbon dioxide,phytoplankton,chlorophyll,nitrate,phosphate,ammonium,,,,
1995,Philosophical Transactions of the Royal Society B,Chemical,carbon dioxide,carbon,,,,,,,,
1995,Global Biogeochemical Cycles,Chemical,carbon dioxide,organic matter,,,,,,,,
1996,Tellus,Chemical,carbon dioxide,carbon-14,,,,,,,,
1996,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
1996,Science,Chemical,carbon dioxide,,,,,,,,,
1996,Biogeochemistry,Chemical,nitrogen,phosphorus,nitrate,iron,phosphate,,,,,
1997,Global Biogeochemical Cycles,Chemical,nitrogen,oxygen,,,,,,,,
1998,Nature,Chemical,carbon dioxide,,,,,,,,,
1998,Science,Chemical,carbon dioxide,,,,,,,,,
1999,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
1998,Science,Chemical,carbon dioxide,,,,,,,,,
1999,Global Biogeochemical Cycles,Chemical,carbon dioxide,,,,,,,,,
1999,Tellus,Chemical,carbon dioxide,,,,,,,,,
1999,Journal of Geophysical Research,Chemical,carbon dioxide,,,,,,,,,
1999,Journal of Geophysical Research,Chemical,carbon dioxide,,,,,,,,,
1999,Tellus,Chemical,carbon dioxide,,,,,,,,,
2000,Global Biogeochemical Cycles,Chemical,carbon-13,,,,,,,,,
