key,value,date
Physical,1,1976
Physical,0,1977
Physical,1,1978
Physical,0,1979
Physical,1,1980
Physical,0,1981
Physical,3,1982
Physical,2,1983
Physical,0,1984
Physical,1,1985
Physical,5,1986
Physical,1,1987
Physical,0,1988
Physical,0,1989
Physical,1,1990
Physical,1,1991
Physical,0,1992
Physical,0,1993
Physical,0,1994
Physical,1,1995
Physical,0,1996
Physical,0,1997
Physical,0,1998
Physical,0,1999
Physical,0,2000
Physical,1,2001
Physical,1,2002
Physical,0,2003
Physical,2,2004
Physical,0,2005
Physical,0,2006
Physical,0,2007
Physical,0,2008
Physical,0,2009
Physical,0,2010
Physical,4,2011
Physical,1,2012
Physical,3,2013
Physical,0,2014
Physical,3,2015
Chemical,2,1976
Chemical,0,1977
Chemical,0,1978
Chemical,0,1979
Chemical,1,1980
Chemical,0,1981
Chemical,0,1982
Chemical,0,1983
Chemical,1,1984
Chemical,5,1985
Chemical,4,1986
Chemical,0,1987
Chemical,3,1988
Chemical,1,1989
Chemical,2,1990
Chemical,5,1991
Chemical,6,1992
Chemical,4,1993
Chemical,2,1994
Chemical,3,1995
Chemical,4,1996
Chemical,1,1997
Chemical,3,1998
Chemical,6,1999
Chemical,6,2000
Chemical,4,2001
Chemical,10,2002
Chemical,11,2003
Chemical,4,2004
Chemical,1,2005
Chemical,6,2006
Chemical,10,2007
Chemical,6,2008
Chemical,4,2009
Chemical,6,2010
Chemical,1,2011
Chemical,3,2012
Chemical,4,2013
Chemical,9,2014
Chemical,4,2015
Biological,0,1976
Biological,0,1977
Biological,0,1978
Biological,0,1979
Biological,0,1980
Biological,0,1981
Biological,0,1982
Biological,0,1983
Biological,0,1984
Biological,0,1985
Biological,0,1986
Biological,0,1987
Biological,1,1988
Biological,0,1989
Biological,0,1990
Biological,1,1991
Biological,0,1992
Biological,2,1993
Biological,1,1994
Biological,1,1995
Biological,0,1996
Biological,0,1997
Biological,0,1998
Biological,0,1999
Biological,0,2000
Biological,0,2001
Biological,0,2002
Biological,0,2003
Biological,1,2004
Biological,1,2005
Biological,1,2006
Biological,0,2007
Biological,0,2008
Biological,3,2009
Biological,3,2010
Biological,2,2011
Biological,2,2012
Biological,5,2013
Biological,1,2014
Biological,2,2015
Other,0,1976
Other,0,1977
Other,0,1978
Other,0,1979
Other,0,1980
Other,0,1981
Other,0,1982
Other,0,1983
Other,0,1984
Other,0,1985
Other,0,1986
Other,0,1987
Other,0,1988
Other,0,1989
Other,0,1990
Other,0,1991
Other,0,1992
Other,0,1993
Other,0,1994
Other,0,1995
Other,0,1996
Other,0,1997
Other,0,1998
Other,0,1999
Other,0,2000
Other,0,2001
Other,0,2002
Other,0,2003
Other,1,2004
Other,0,2005
Other,0,2006
Other,0,2007
Other,0,2008
Other,0,2009
Other,0,2010
Other,0,2011
Other,1,2012
Other,1,2013
Other,0,2014
Other,0,2015
