key,value,date
CFC,0,1976
CFC,0,1977
CFC,0,1978
CFC,0,1979
CFC,0,1980
CFC,0,1981
CFC,0,1982
CFC,0,1983
CFC,0,1984
CFC,0,1985
CFC,0,1986
CFC,1,1987
CFC,0,1988
CFC,0,1989
CFC,0,1990
CFC,1,1991
CFC,1,1992
CFC,0,1993
CFC,0,1994
CFC,0,1995
CFC,0,1996
CFC,0,1997
CFC,0,1998
CFC,0,1999
CFC,0,2000
CFC,0,2001
CFC,1,2002
CFC,1,2003
CFC,3,2004
CFC,0,2005
CFC,1,2006
CFC,1,2007
CFC,0,2008
CFC,0,2009
CFC,1,2010
CFC,0,2011
CFC,0,2012
CFC,0,2013
CFC,0,2014
CFC,0,2015
carbon-14,0,1976
carbon-14,0,1977
carbon-14,0,1978
carbon-14,0,1979
carbon-14,0,1980
carbon-14,0,1981
carbon-14,0,1982
carbon-14,0,1983
carbon-14,0,1984
carbon-14,2,1985
carbon-14,0,1986
carbon-14,1,1987
carbon-14,0,1988
carbon-14,0,1989
carbon-14,0,1990
carbon-14,2,1991
carbon-14,0,1992
carbon-14,0,1993
carbon-14,0,1994
carbon-14,1,1995
carbon-14,1,1996
carbon-14,0,1997
carbon-14,0,1998
carbon-14,0,1999
carbon-14,0,2000
carbon-14,1,2001
carbon-14,0,2002
carbon-14,0,2003
carbon-14,3,2004
carbon-14,0,2005
carbon-14,0,2006
carbon-14,2,2007
carbon-14,0,2008
carbon-14,0,2009
carbon-14,1,2010
carbon-14,2,2011
carbon-14,1,2012
carbon-14,0,2013
carbon-14,0,2014
carbon-14,1,2015
carbon dioxide,0,1976
carbon dioxide,0,1977
carbon dioxide,0,1978
carbon dioxide,0,1979
carbon dioxide,0,1980
carbon dioxide,0,1981
carbon dioxide,0,1982
carbon dioxide,0,1983
carbon dioxide,1,1984
carbon dioxide,1,1985
carbon dioxide,2,1986
carbon dioxide,0,1987
carbon dioxide,1,1988
carbon dioxide,0,1989
carbon dioxide,0,1990
carbon dioxide,6,1991
carbon dioxide,5,1992
carbon dioxide,3,1993
carbon dioxide,1,1994
carbon dioxide,4,1995
carbon dioxide,3,1996
carbon dioxide,0,1997
carbon dioxide,3,1998
carbon dioxide,6,1999
carbon dioxide,3,2000
carbon dioxide,4,2001
carbon dioxide,7,2002
carbon dioxide,11,2003
carbon dioxide,5,2004
carbon dioxide,1,2005
carbon dioxide,6,2006
carbon dioxide,5,2007
carbon dioxide,5,2008
carbon dioxide,4,2009
carbon dioxide,5,2010
carbon dioxide,1,2011
carbon dioxide,2,2012
carbon dioxide,4,2013
carbon dioxide,6,2014
carbon dioxide,4,2015
carbon,0,1976
carbon,0,1977
carbon,0,1978
carbon,0,1979
carbon,0,1980
carbon,0,1981
carbon,0,1982
carbon,0,1983
carbon,0,1984
carbon,0,1985
carbon,0,1986
carbon,0,1987
carbon,0,1988
carbon,0,1989
carbon,0,1990
carbon,2,1991
carbon,3,1992
carbon,1,1993
carbon,1,1994
carbon,1,1995
carbon,0,1996
carbon,0,1997
carbon,0,1998
carbon,0,1999
carbon,0,2000
carbon,0,2001
carbon,3,2002
carbon,0,2003
carbon,0,2004
carbon,1,2005
carbon,2,2006
carbon,3,2007
carbon,0,2008
carbon,1,2009
carbon,0,2010
carbon,0,2011
carbon,0,2012
carbon,1,2013
carbon,2,2014
carbon,1,2015
nitrogen,0,1976
nitrogen,0,1977
nitrogen,0,1978
nitrogen,0,1979
nitrogen,0,1980
nitrogen,0,1981
nitrogen,0,1982
nitrogen,0,1983
nitrogen,0,1984
nitrogen,0,1985
nitrogen,0,1986
nitrogen,0,1987
nitrogen,0,1988
nitrogen,0,1989
nitrogen,1,1990
nitrogen,0,1991
nitrogen,1,1992
nitrogen,3,1993
nitrogen,1,1994
nitrogen,0,1995
nitrogen,1,1996
nitrogen,1,1997
nitrogen,0,1998
nitrogen,0,1999
nitrogen,0,2000
nitrogen,1,2001
nitrogen,2,2002
nitrogen,0,2003
nitrogen,0,2004
nitrogen,0,2005
nitrogen,2,2006
nitrogen,3,2007
nitrogen,1,2008
nitrogen,0,2009
nitrogen,1,2010
nitrogen,1,2011
nitrogen,1,2012
nitrogen,0,2013
nitrogen,0,2014
nitrogen,0,2015
nitrate,0,1976
nitrate,0,1977
nitrate,0,1978
nitrate,0,1979
nitrate,0,1980
nitrate,0,1981
nitrate,0,1982
