key,value,date
Biogeosciences,0,1976
Biogeosciences,0,1977
Biogeosciences,0,1978
Biogeosciences,0,1979
Biogeosciences,0,1980
Biogeosciences,0,1981
Biogeosciences,0,1982
Biogeosciences,0,1983
Biogeosciences,0,1984
Biogeosciences,0,1985
Biogeosciences,0,1986
Biogeosciences,0,1987
Biogeosciences,0,1988
Biogeosciences,0,1989
Biogeosciences,0,1990
Biogeosciences,0,1991
Biogeosciences,0,1992
Biogeosciences,0,1993
Biogeosciences,0,1994
Biogeosciences,0,1995
Biogeosciences,0,1996
Biogeosciences,0,1997
Biogeosciences,0,1998
Biogeosciences,0,1999
Biogeosciences,0,2000
Biogeosciences,0,2001
Biogeosciences,0,2002
Biogeosciences,0,2003
Biogeosciences,0,2004
Biogeosciences,0,2005
Biogeosciences,0,2006
Biogeosciences,0,2007
Biogeosciences,0,2008
Biogeosciences,0,2009
Biogeosciences,4,2010
Biogeosciences,0,2011
Biogeosciences,1,2012
Biogeosciences,2,2013
Biogeosciences,2,2014
Biogeosciences,0,2015
Book,0,1976
Book,0,1977
Book,0,1978
Book,0,1979
Book,0,1980
Book,0,1981
Book,0,1982
Book,0,1983
Book,0,1984
Book,2,1985
Book,3,1986
Book,0,1987
Book,0,1988
Book,0,1989
Book,0,1990
Book,0,1991
Book,2,1992
Book,1,1993
Book,0,1994
Book,1,1995
Book,0,1996
Book,0,1997
Book,0,1998
Book,0,1999
Book,0,2000
Book,0,2001
Book,1,2002
Book,1,2003
Book,2,2004
Book,0,2005
Book,0,2006
Book,1,2007
Book,0,2008
Book,0,2009
Book,0,2010
Book,0,2011
Book,0,2012
Book,1,2013
Book,0,2014
Book,0,2015
Earth and Planetary Science Letters,3,1976
Earth and Planetary Science Letters,0,1977
Earth and Planetary Science Letters,0,1978
Earth and Planetary Science Letters,0,1979
Earth and Planetary Science Letters,1,1980
Earth and Planetary Science Letters,0,1981
Earth and Planetary Science Letters,0,1982
Earth and Planetary Science Letters,0,1983
Earth and Planetary Science Letters,0,1984
Earth and Planetary Science Letters,0,1985
Earth and Planetary Science Letters,0,1986
Earth and Planetary Science Letters,0,1987
Earth and Planetary Science Letters,0,1988
Earth and Planetary Science Letters,0,1989
Earth and Planetary Science Letters,0,1990
Earth and Planetary Science Letters,0,1991
Earth and Planetary Science Letters,0,1992
Earth and Planetary Science Letters,0,1993
Earth and Planetary Science Letters,0,1994
Earth and Planetary Science Letters,0,1995
Earth and Planetary Science Letters,0,1996
Earth and Planetary Science Letters,0,1997
Earth and Planetary Science Letters,0,1998
Earth and Planetary Science Letters,0,1999
Earth and Planetary Science Letters,0,2000
Earth and Planetary Science Letters,0,2001
Earth and Planetary Science Letters,0,2002
Earth and Planetary Science Letters,0,2003
Earth and Planetary Science Letters,0,2004
Earth and Planetary Science Letters,0,2005
Earth and Planetary Science Letters,0,2006
Earth and Planetary Science Letters,0,2007
Earth and Planetary Science Letters,0,2008
Earth and Planetary Science Letters,0,2009
Earth and Planetary Science Letters,1,2010
Earth and Planetary Science Letters,0,2011
Earth and Planetary Science Letters,0,2012
Earth and Planetary Science Letters,0,2013
Earth and Planetary Science Letters,1,2014
Earth and Planetary Science Letters,1,2015
Geophysical Research Letters,0,1976
Geophysical Research Letters,0,1977
Geophysical Research Letters,0,1978
Geophysical Research Letters,0,1979
Geophysical Research Letters,0,1980
Geophysical Research Letters,0,1981
Geophysical Research Letters,0,1982
Geophysical Research Letters,0,1983
Geophysical Research Letters,0,1984
Geophysical Research Letters,0,1985
Geophysical Research Letters,0,1986
Geophysical Research Letters,0,1987
Geophysical Research Letters,0,1988
Geophysical Research Letters,0,1989
Geophysical Research Letters,0,1990
Geophysical Research Letters,0,1991
Geophysical Research Letters,0,1992
Geophysical Research Letters,0,1993
Geophysical Research Letters,0,1994
Geophysical Research Letters,0,1995
Geophysical Research Letters,0,1996
Geophysical Research Letters,0,1997
Geophysical Research Letters,0,1998
Geophysical Research Letters,0,1999
Geophysical Research Letters,0,2000
Geophysical Research Letters,0,2001
Geophysical Research Letters,1,2002
Geophysical Research Letters,1,2003
Geophysical Research Letters,1,2004
Geophysical Research Letters,0,2005
Geophysical Research Letters,2,2006
Geophysical Research Letters,0,2007
Geophysical Research Letters,0,2008
Geophysical Research Letters,0,2009
Geophysical Research Letters,0,2010
Geophysical Research Letters,1,2011
Geophysical Research Letters,0,2012
Geophysical Research Letters,0,2013
Geophysical Research Letters,2,2014
Geophysical Research Letters,0,2015
Global Biogeochemical Cycles,0,1976
Global Biogeochemical Cycles,0,1977
Global Biogeochemical Cycles,0,1978
Global Biogeochemical Cycles,0,1979
Global Biogeochemical Cycles,0,1980
Global Biogeochemical Cycles,0,1981
Global Biogeochemical Cycles,0,1982
Global Biogeochemical Cycles,0,1983
